Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1165,2.840290e-04,5.080242e-12,1.016048e-11
Jacobi,23,2631,1.283539e-03,5.068131e-12,1.013626e-11
Jacobi,31,4684,3.860162e-03,5.048837e-12,1.009768e-11
Jacobi,47,10547,2.021971e-02,5.064367e-12,1.012874e-11
Jacobi,63,18756,6.283573e-02,5.064911e-12,1.012981e-11
Jacobi,95,42210,3.135355e-01,5.066013e-12,1.013213e-11
Jacobi,127,75046,1.007968e+00,5.065826e-12,1.013160e-11
RB GS,15,592,3.777910e-04,3.548488e-12,7.027809e-12
RB GS,23,1336,1.905451e-03,3.578763e-12,7.126716e-12
RB GS,31,2378,5.928484e-03,3.575269e-12,7.133252e-12
RB GS,47,5355,3.652040e-02,3.574879e-12,7.142113e-12
RB GS,63,9522,7.786938e-02,3.581645e-12,7.158968e-12
RB GS,95,21429,3.367775e-01,3.581489e-12,7.161181e-12
RB GS,127,38099,1.118436e+00,3.581040e-12,7.160980e-12
RB SOR,15,72,5.134800e-05,4.335911e-13,9.251211e-13
RB SOR,23,110,1.588010e-04,2.864627e-13,6.011927e-13
RB SOR,31,148,3.826170e-04,2.297615e-13,4.780898e-13
RB SOR,47,225,1.273482e-03,1.608782e-13,3.313183e-13
RB SOR,63,303,3.192322e-03,1.219865e-13,2.497863e-13
RB SOR,95,461,1.047391e-02,8.128248e-14,1.655689e-13
RB SOR,127,620,2.929666e-02,6.322107e-14,1.282169e-13
MG V-cycle,15,13,2.313710e-04,1.741536e-13,2.500430e-13
MG V-cycle,23,14,3.682530e-04,2.152796e-13,2.955622e-13
MG V-cycle,31,14,4.357000e-04,8.309687e-14,1.267181e-13
MG V-cycle,47,15,2.443362e-03,5.727552e-14,8.339857e-14
MG V-cycle,63,15,1.062758e-03,2.260561e-14,3.859586e-14
MG V-cycle,95,16,3.484435e-03,1.215655e-14,1.967350e-14
MG V-cycle,127,16,5.495052e-03,4.969549e-15,9.737437e-15
MG W-cycle,15,11,3.988850e-04,4.277620e-14,8.636147e-14
MG W-cycle,23,10,7.544120e-04,1.802975e-13,5.050231e-13
MG W-cycle,31,10,2.596684e-03,9.219604e-14,3.046868e-13
MG W-cycle,47,10,1.659221e-03,3.903620e-14,1.444808e-13
MG W-cycle,63,10,2.348494e-03,2.285838e-14,8.394088e-14
MG W-cycle,95,11,6.281460e-03,9.033177e-16,4.183286e-15
MG W-cycle,127,11,6.943048e-03,5.852436e-16,3.135079e-15
