Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,333,8.317000e-05,2.953815e-04,5.717083e-04
Jacobi,23,761,3.917080e-04,1.319268e-04,2.556500e-04
Jacobi,31,1359,1.145454e-03,7.433228e-05,1.438535e-04
Jacobi,47,3070,5.690476e-03,3.307520e-05,6.408444e-05
Jacobi,63,5464,1.836393e-02,1.861234e-05,3.615085e-05
Jacobi,95,12305,9.178337e-02,8.274536e-06,1.608250e-05
Jacobi,127,21883,2.887106e-01,4.654895e-06,9.044182e-06
RB GS,15,169,1.111010e-04,2.953815e-04,5.717083e-04
RB GS,23,386,5.698130e-04,1.319268e-04,2.556500e-04
RB GS,31,689,1.730276e-03,7.433228e-05,1.438535e-04
RB GS,47,1556,8.611673e-03,3.307520e-05,6.408444e-05
RB GS,63,2768,2.711260e-02,1.861234e-05,3.615085e-05
RB GS,95,6234,1.076698e-01,8.274537e-06,1.608250e-05
RB GS,127,11086,3.239801e-01,4.654895e-06,9.044182e-06
RB SOR,15,72,5.181599e-05,2.953815e-04,5.717083e-04
RB SOR,23,111,1.575990e-04,1.319268e-04,2.556500e-04
RB SOR,31,149,3.876670e-04,7.433228e-05,1.438535e-04
RB SOR,47,230,1.324256e-03,3.307520e-05,6.408444e-05
RB SOR,63,309,3.106732e-03,1.861234e-05,3.615086e-05
RB SOR,95,473,1.787704e-02,8.274538e-06,1.608250e-05
RB SOR,127,639,2.857735e-02,4.654896e-06,9.044184e-06
MG V-cycle,15,12,2.120270e-04,2.953815e-04,5.717083e-04
MG V-cycle,23,14,3.518240e-04,1.319268e-04,2.556500e-04
MG V-cycle,31,14,4.532460e-04,7.433228e-05,1.438535e-04
MG V-cycle,47,15,7.681020e-04,3.307520e-05,6.408444e-05
MG V-cycle,63,16,1.175790e-03,1.861234e-05,3.615085e-05
MG V-cycle,95,16,2.200759e-03,8.274537e-06,1.608250e-05
MG V-cycle,127,17,4.239859e-03,4.654896e-06,9.044184e-06
MG W-cycle,15,12,4.230980e-04,2.953815e-04,5.717083e-04
MG W-cycle,23,12,8.402080e-04,1.319268e-04,2.556500e-04
MG W-cycle,31,12,1.004148e-03,7.433228e-05,1.438535e-04
MG W-cycle,47,12,1.991356e-03,3.307520e-05,6.408444e-05
MG W-cycle,63,13,2.764985e-03,1.861234e-05,3.615085e-05
MG W-cycle,95,13,5.507444e-03,8.274538e-06,1.608250e-05
MG W-cycle,127,13,7.496942e-03,4.654896e-06,9.044184e-06
