Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,209,6.512800e-05,1.214909e-02,2.429817e-02
Jacobi,23,480,2.417350e-04,5.359167e-03,1.071833e-02
Jacobi,31,860,7.064600e-04,3.006631e-03,6.013262e-03
Jacobi,47,1945,3.716605e-03,1.333781e-03,2.667561e-03
Jacobi,63,3464,1.165456e-02,7.497604e-04,1.499521e-03
Jacobi,95,7803,5.821562e-02,3.330710e-04,6.661421e-04
Jacobi,127,13879,1.829737e-01,1.873218e-04,3.746436e-04
RB GS,15,106,7.286599e-05,1.214909e-02,2.429817e-02
RB GS,23,244,3.536060e-04,5.359167e-03,1.071833e-02
RB GS,31,436,1.102596e-03,3.006631e-03,6.013262e-03
RB GS,47,985,6.552702e-03,1.333781e-03,2.667561e-03
RB GS,63,1754,1.779098e-02,7.497604e-04,1.499521e-03
RB GS,95,3952,7.741976e-02,3.330710e-04,6.661421e-04
RB GS,127,7028,2.043687e-01,1.873218e-04,3.746436e-04
RB SOR,15,71,5.033500e-05,1.214909e-02,2.429817e-02
RB SOR,23,107,1.669050e-04,5.359167e-03,1.071833e-02
RB SOR,31,143,8.690520e-04,3.006631e-03,6.013262e-03
RB SOR,47,215,1.230928e-03,1.333781e-03,2.667561e-03
RB SOR,63,286,2.839365e-03,7.497604e-04,1.499521e-03
RB SOR,95,430,1.247693e-02,3.330710e-04,6.661421e-04
RB SOR,127,573,2.296369e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,12,2.298650e-04,1.214909e-02,2.429817e-02
MG V-cycle,23,14,3.461780e-04,5.359167e-03,1.071833e-02
MG V-cycle,31,14,4.338760e-04,3.006631e-03,6.013262e-03
MG V-cycle,47,15,7.869790e-04,1.333781e-03,2.667561e-03
MG V-cycle,63,15,1.083055e-03,7.497604e-04,1.499521e-03
MG V-cycle,95,16,2.280116e-03,3.330710e-04,6.661421e-04
MG V-cycle,127,16,3.513445e-03,1.873218e-04,3.746436e-04
MG W-cycle,15,12,4.617370e-04,1.214909e-02,2.429817e-02
MG W-cycle,23,12,8.068700e-04,5.359167e-03,1.071833e-02
MG W-cycle,31,12,1.020677e-03,3.006631e-03,6.013262e-03
MG W-cycle,47,12,1.975541e-03,1.333781e-03,2.667561e-03
MG W-cycle,63,12,2.512054e-03,7.497604e-04,1.499521e-03
MG W-cycle,95,12,4.999205e-03,3.330710e-04,6.661421e-04
MG W-cycle,127,12,6.902471e-03,1.873218e-04,3.746436e-04
