Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1305,3.516680e-04,1.609482e-03,3.218964e-03
Jacobi,23,2947,1.453155e-03,7.145592e-04,1.429118e-03
Jacobi,31,5245,4.406549e-03,4.017888e-04,8.035777e-04
Jacobi,47,11812,2.207970e-02,1.785250e-04,3.570500e-04
Jacobi,63,21004,7.074134e-02,1.004109e-04,2.008218e-04
Jacobi,95,47271,3.523271e-01,4.462408e-05,8.924815e-05
Jacobi,127,84047,1.118633e+00,2.510045e-05,5.020091e-05
RB GS,15,662,3.139670e-04,1.609482e-03,3.218964e-03
RB GS,23,1494,1.507374e-03,7.145592e-04,1.429118e-03
RB GS,31,2659,4.801841e-03,4.017888e-04,8.035777e-04
RB GS,47,5987,2.379553e-02,1.785250e-04,3.570500e-04
RB GS,63,10646,7.544286e-02,1.004109e-04,2.008218e-04
RB GS,95,23960,3.808024e-01,4.462408e-05,8.924816e-05
RB GS,127,42598,1.240013e+00,2.510045e-05,5.020091e-05
RB SOR,15,79,6.756900e-05,1.609482e-03,3.218964e-03
RB SOR,23,120,9.359940e-04,7.145592e-04,1.429118e-03
RB SOR,31,162,8.124840e-04,4.017888e-04,8.035777e-04
RB SOR,47,246,1.630967e-03,1.785250e-04,3.570500e-04
RB SOR,63,331,3.837875e-03,1.004109e-04,2.008218e-04
RB SOR,95,503,1.690574e-02,4.462408e-05,8.924816e-05
RB SOR,127,677,3.506972e-02,2.510046e-05,5.020092e-05
MG V-cycle,15,14,1.656130e-04,1.609482e-03,3.218964e-03
MG V-cycle,23,15,2.405840e-04,7.145592e-04,1.429118e-03
MG V-cycle,31,15,3.060530e-04,4.017888e-04,8.035777e-04
MG V-cycle,47,16,5.653080e-04,1.785250e-04,3.570500e-04
MG V-cycle,63,16,8.217940e-04,1.004109e-04,2.008218e-04
MG V-cycle,95,17,1.700971e-03,4.462408e-05,8.924816e-05
MG V-cycle,127,17,2.669997e-03,2.510046e-05,5.020092e-05
MG W-cycle,15,12,4.274870e-04,1.609482e-03,3.218964e-03
MG W-cycle,23,12,8.030450e-04,7.145592e-04,1.429118e-03
MG W-cycle,31,11,1.035370e-03,4.017888e-04,8.035777e-04
MG W-cycle,47,11,3.142604e-03,1.785250e-04,3.570500e-04
MG W-cycle,63,11,7.404198e-03,1.004109e-04,2.008218e-04
MG W-cycle,95,11,7.371875e-03,4.462408e-05,8.924816e-05
MG W-cycle,127,12,1.188264e-02,2.510046e-05,5.020092e-05
