Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,216,9.174901e-05,5.037509e-04,1.007505e-03
Jacobi,23,487,4.468420e-04,5.070370e-04,1.014076e-03
Jacobi,31,867,1.387454e-03,5.067112e-04,1.013421e-03
Jacobi,47,1953,7.096076e-03,5.061524e-04,1.012299e-03
Jacobi,63,3473,2.135335e-02,5.062189e-04,1.012437e-03
Jacobi,95,7815,1.097417e-01,5.064450e-04,1.012936e-03
Jacobi,127,13891,3.455569e-01,5.064952e-04,1.013018e-03
RB GS,15,117,1.068500e-04,3.587591e-04,7.105246e-04
RB GS,23,264,5.375370e-04,3.580324e-04,7.129854e-04
RB GS,31,470,1.615972e-03,3.570936e-04,7.124655e-04
RB GS,47,1058,8.562890e-03,3.572843e-04,7.137991e-04
RB GS,63,1881,2.690902e-02,3.575395e-04,7.146560e-04
RB GS,95,4232,1.145987e-01,3.578351e-04,7.155360e-04
RB GS,127,7520,3.394068e-01,3.582068e-04,7.163361e-04
RB SOR,15,22,3.000800e-05,5.453047e-05,1.164861e-04
RB SOR,23,35,8.127101e-05,3.478680e-05,7.277562e-05
RB SOR,31,49,1.893600e-04,2.317677e-05,4.779920e-05
RB SOR,47,76,6.410640e-04,1.730916e-05,3.527436e-05
RB SOR,63,105,4.129284e-03,1.251394e-05,2.548844e-05
RB SOR,95,163,9.730649e-03,8.976058e-06,1.835533e-05
RB SOR,127,224,1.255885e-02,6.249943e-06,1.279265e-05
MG V-cycle,15,3,6.228700e-05,8.001491e-05,1.151636e-04
MG V-cycle,23,4,1.119880e-04,2.001453e-05,2.732408e-05
MG V-cycle,31,4,1.467180e-04,1.421272e-05,2.197083e-05
MG V-cycle,47,5,2.926500e-04,3.596552e-06,5.140809e-06
MG V-cycle,63,5,4.462000e-04,2.409664e-06,4.077330e-06
MG V-cycle,95,5,8.282750e-04,3.723663e-06,5.339456e-06
MG V-cycle,127,5,1.313622e-03,2.500183e-06,4.327158e-06
MG W-cycle,15,3,1.227500e-04,1.345984e-05,2.323836e-05
MG W-cycle,23,3,2.278670e-04,6.650388e-06,1.450722e-05
MG W-cycle,31,3,2.943490e-04,4.111067e-06,1.079962e-05
MG W-cycle,47,3,5.815990e-04,2.156867e-06,7.223246e-06
MG W-cycle,63,3,7.183880e-04,1.385901e-06,5.437061e-06
MG W-cycle,95,3,1.458717e-03,7.510847e-07,3.643984e-06
MG W-cycle,127,3,2.033403e-03,4.880492e-07,2.742046e-06
