Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,101,4.539501e-05,1.818057e-04,3.686367e-04
Jacobi,23,230,2.096030e-04,3.172235e-05,8.370867e-05
Jacobi,31,410,6.661370e-04,5.652813e-05,1.260498e-04
Jacobi,47,926,3.174064e-03,9.415415e-05,1.932049e-04
Jacobi,63,1648,1.019008e-02,1.084646e-04,2.197623e-04
Jacobi,95,3715,5.151781e-02,1.174503e-04,2.362728e-04
Jacobi,127,6623,1.615702e-01,1.184350e-04,2.377927e-04
RB GS,15,53,5.329400e-05,2.151016e-04,4.347383e-04
RB GS,23,120,2.503700e-04,5.050053e-05,1.197695e-04
RB GS,31,214,7.999280e-04,2.487902e-05,5.902015e-05
RB GS,47,484,4.057588e-03,5.658485e-05,1.189192e-04
RB GS,63,861,1.760970e-02,7.079185e-05,1.448732e-04
RB GS,95,1937,6.066753e-02,8.134984e-05,1.641854e-04
RB GS,127,3447,1.521914e-01,8.424001e-05,1.692630e-04
RB SOR,15,26,2.737300e-05,2.946811e-04,5.716501e-04
RB SOR,23,40,8.041199e-05,1.267798e-04,2.461460e-04
RB SOR,31,55,1.926970e-04,6.743124e-05,1.301824e-04
RB SOR,47,88,6.948430e-04,3.035948e-05,6.186962e-05
RB SOR,63,122,1.674921e-03,1.818780e-05,3.716507e-05
RB SOR,95,192,5.990368e-03,9.174100e-06,1.786566e-05
RB SOR,127,100000,4.475416e+00,4.772676e-06,1.029779e-05
MG V-cycle,15,4,7.903000e-05,2.589211e-04,4.976808e-04
MG V-cycle,23,5,1.399680e-04,1.221240e-04,2.418451e-04
MG V-cycle,31,5,1.933770e-04,6.190925e-05,1.265266e-04
MG V-cycle,47,6,3.428290e-04,3.058661e-05,6.124304e-05
MG V-cycle,63,6,5.394430e-04,1.605096e-05,3.278045e-05
MG V-cycle,95,7,1.248028e-03,7.800829e-06,1.563608e-05
MG V-cycle,127,7,1.891723e-03,4.203795e-06,8.569003e-06
MG W-cycle,15,4,1.611990e-04,2.736597e-04,5.250393e-04
MG W-cycle,23,5,3.675180e-04,1.306414e-04,2.549581e-04
MG W-cycle,31,5,4.729070e-04,7.356318e-05,1.440464e-04
MG W-cycle,47,5,9.073550e-04,3.277726e-05,6.411658e-05
MG W-cycle,63,5,1.179047e-03,1.846811e-05,3.615821e-05
MG W-cycle,95,5,2.359575e-03,8.255854e-06,1.617252e-05
MG W-cycle,127,6,3.984575e-03,4.657457e-06,9.126023e-06
