Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,434,1.834340e-04,4.297414e-04,8.757940e-04
Jacobi,23,981,9.265030e-04,4.710295e-04,9.492269e-04
Jacobi,31,1746,2.784064e-03,4.851834e-04,9.754530e-04
Jacobi,47,3939,1.364172e-02,4.868226e-04,9.737840e-04
Jacobi,63,7040,4.334323e-02,4.743831e-04,9.518495e-04
Jacobi,95,16270,2.296963e-01,3.681860e-04,7.389417e-04
Jacobi,127,32036,7.996146e-01,1.603788e-04,2.900524e-04
RB GS,15,227,2.011570e-04,2.708119e-04,5.568214e-04
RB GS,23,511,1.018150e-03,3.231991e-04,6.520961e-04
RB GS,31,910,6.203175e-03,3.346208e-04,6.738214e-04
RB GS,47,2049,1.954959e-02,3.436851e-04,6.875871e-04
RB GS,63,3653,5.173154e-02,3.439977e-04,6.915812e-04
RB GS,95,8308,2.096711e-01,3.053294e-04,6.135032e-04
RB GS,127,16018,7.231237e-01,1.603788e-04,2.900524e-04
RB SOR,15,34,3.445201e-05,3.092849e-05,6.839770e-05
RB SOR,23,53,1.185460e-04,7.434998e-06,2.025716e-05
RB SOR,31,72,2.878650e-04,7.532755e-06,2.243482e-05
RB SOR,47,113,9.035220e-04,3.043750e-06,1.157741e-05
RB SOR,63,100000,1.129222e+00,3.763808e-06,1.084990e-05
RB SOR,95,100000,2.486553e+00,1.537225e-05,4.015439e-05
RB SOR,127,100000,4.488955e+00,2.277857e-05,5.375204e-05
MG V-cycle,15,6,2.417680e-04,6.228617e-05,1.256823e-04
MG V-cycle,23,6,1.648770e-04,2.281940e-05,4.593603e-05
MG V-cycle,31,7,7.702270e-04,1.581815e-05,3.198378e-05
MG V-cycle,47,7,3.984820e-04,5.899152e-06,1.476976e-05
MG V-cycle,63,7,6.079200e-04,5.301154e-06,1.678161e-05
MG V-cycle,95,8,1.328257e-03,1.489285e-06,4.649214e-06
MG V-cycle,127,9,2.381668e-03,1.103479e-06,2.492047e-06
MG W-cycle,15,5,2.015000e-04,7.116788e-05,1.418947e-04
MG W-cycle,23,5,5.061450e-04,3.297852e-05,6.225485e-05
MG W-cycle,31,5,4.777090e-04,1.972223e-05,4.280156e-05
MG W-cycle,47,6,1.116616e-03,8.556696e-06,1.572134e-05
MG W-cycle,63,6,2.420088e-03,4.784866e-06,9.013913e-06
MG W-cycle,95,6,2.802277e-03,2.184334e-06,4.472029e-06
MG W-cycle,127,6,4.091629e-03,1.245685e-06,5.408806e-06
