Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,68,3.051599e-05,1.207725e-02,2.415454e-02
Jacobi,23,155,1.439730e-04,5.281742e-03,1.056349e-02
Jacobi,31,278,4.592180e-04,2.930349e-03,5.861163e-03
Jacobi,47,628,2.145959e-03,1.256560e-03,2.513289e-03
Jacobi,63,1118,6.938045e-03,6.723554e-04,1.344323e-03
Jacobi,95,2520,3.549376e-02,2.560358e-04,5.123615e-04
Jacobi,127,4503,1.119590e-01,1.135686e-04,2.273321e-04
RB GS,15,36,3.452699e-05,1.210347e-02,2.421296e-02
RB GS,23,81,1.585730e-04,5.305564e-03,1.061416e-02
RB GS,31,145,5.029090e-04,2.953612e-03,5.909324e-03
RB GS,47,327,2.608662e-03,1.279665e-03,2.560258e-03
RB GS,63,581,8.386812e-03,6.947097e-04,1.389503e-03
RB GS,95,1309,4.700024e-02,2.781865e-04,5.568266e-04
RB GS,127,2328,1.077701e-01,1.326238e-04,2.654791e-04
RB SOR,15,24,2.566801e-05,1.219074e-02,2.437687e-02
RB SOR,23,36,7.463999e-05,5.401035e-03,1.079988e-02
RB SOR,31,48,1.686390e-04,3.048606e-03,6.096125e-03
RB SOR,47,72,5.736830e-04,1.375586e-03,2.750635e-03
RB SOR,63,108,1.516571e-03,7.390247e-04,1.477361e-03
RB SOR,95,143,4.934847e-03,3.752851e-04,7.512569e-04
RB SOR,127,191,1.080234e-02,2.297452e-04,4.599094e-04
MG V-cycle,15,4,8.150900e-05,1.213157e-02,2.430201e-02
MG V-cycle,23,5,1.390980e-04,5.354949e-03,1.071918e-02
MG V-cycle,31,5,2.010190e-04,3.000443e-03,6.014109e-03
MG V-cycle,47,6,3.484770e-04,1.332763e-03,2.667785e-03
MG V-cycle,63,6,9.546830e-04,7.485757e-04,1.499772e-03
MG V-cycle,95,6,1.028474e-03,3.318409e-04,6.663799e-04
MG V-cycle,127,7,2.535251e-03,1.871112e-04,3.746748e-04
MG W-cycle,15,4,1.786510e-04,1.213365e-02,2.428925e-02
MG W-cycle,23,4,3.138570e-04,5.348887e-03,1.071703e-02
MG W-cycle,31,5,4.942110e-04,3.006229e-03,6.013274e-03
MG W-cycle,47,5,9.266260e-04,1.333665e-03,2.667665e-03
MG W-cycle,63,5,1.285255e-03,7.496889e-04,1.499534e-03
MG W-cycle,95,5,2.377800e-03,3.330575e-04,6.661415e-04
MG W-cycle,127,5,3.400401e-03,1.872901e-04,3.745556e-04
