Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,356,1.548810e-04,1.107077e-03,2.214193e-03
Jacobi,23,803,7.220700e-04,2.095768e-04,4.192591e-04
Jacobi,31,1429,2.235313e-03,1.037062e-04,2.074838e-04
Jacobi,47,3218,1.089477e-02,3.268974e-04,6.542206e-04
Jacobi,63,5725,3.570668e-02,4.036331e-04,8.069277e-04
Jacobi,95,12888,1.801275e-01,4.572133e-04,9.139180e-04
Jacobi,127,23014,5.691520e-01,4.630929e-04,9.264350e-04
RB GS,15,187,1.913150e-04,1.251581e-03,2.510190e-03
RB GS,23,422,8.091020e-04,3.579608e-04,7.190704e-04
RB GS,31,751,2.670092e-03,4.555182e-05,9.262562e-05
RB GS,47,1690,1.328886e-02,1.790244e-04,3.583248e-04
RB GS,63,3006,4.318945e-02,2.564997e-04,5.124872e-04
RB GS,95,6759,1.690074e-01,3.133498e-04,6.259840e-04
RB GS,127,12031,5.374795e-01,3.313106e-04,6.628046e-04
RB SOR,15,30,3.157499e-05,1.563127e-03,3.134608e-03
RB SOR,23,47,9.514100e-05,6.851656e-04,1.374006e-03
RB SOR,31,64,2.214430e-04,3.784596e-04,7.591248e-04
RB SOR,47,99,8.021660e-04,1.623020e-04,3.254414e-04
RB SOR,63,135,1.956243e-03,8.794831e-05,1.767874e-04
RB SOR,95,208,6.919168e-03,3.705217e-05,7.841907e-05
RB SOR,127,100000,4.503320e+00,2.545981e-05,5.129176e-05
MG V-cycle,15,5,6.831701e-05,1.591440e-03,3.202558e-03
MG V-cycle,23,5,9.230299e-05,6.753472e-04,1.385212e-03
MG V-cycle,31,6,1.687250e-04,3.984002e-04,8.007288e-04
MG V-cycle,47,6,2.369920e-04,1.717437e-04,3.497601e-04
MG V-cycle,63,6,3.728110e-04,9.684467e-05,1.978874e-04
MG V-cycle,95,7,8.379760e-04,4.347021e-05,8.809566e-05
MG V-cycle,127,7,1.361873e-03,2.449802e-05,4.973684e-05
MG W-cycle,15,4,1.637670e-04,1.602387e-03,3.221154e-03
MG W-cycle,23,4,6.363590e-04,7.129184e-04,1.429200e-03
MG W-cycle,31,4,4.103610e-04,4.011382e-04,8.034706e-04
MG W-cycle,47,4,7.138730e-04,1.783511e-04,3.570318e-04
MG W-cycle,63,4,9.846940e-04,1.003001e-04,2.007484e-04
MG W-cycle,95,4,1.848608e-03,4.459222e-05,8.928776e-05
MG W-cycle,127,4,4.048304e-03,2.504718e-05,5.018711e-05
