dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,127,16129,6,2.836440e-10,4.654896e-06,9.044184e-06,9.820000e-01,9.820000e-04,6.088412e-02,1.642464e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,8.900000e-01,8.900000e-04,5.518011e-02,1.812247e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,7.510000e-01,7.510000e-04,4.656209e-02,2.147670e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,7.320000e-01,7.320000e-04,4.538409e-02,2.203415e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,7.660000e-01,7.660000e-04,4.749209e-02,2.105614e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,8.750000e-01,8.750000e-04,5.425011e-02,1.843314e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,1.858000e+00,1.858000e-03,1.151962e-01,8.680840e+06,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,127,16129,6,2.836564e-10,4.654896e-06,9.044184e-06,2.055000e+00,2.055000e-03,1.274103e-01,7.848662e+06,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,255,65025,7,1.565705e-11,1.163837e-06,2.262062e-06,1.352000e+00,1.352000e-03,2.079200e-02,4.809541e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,4.052000e+00,4.052000e-03,6.231449e-02,1.604763e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,2.504000e+00,2.504000e-03,3.850827e-02,2.596845e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,1.986000e+00,1.986000e-03,3.054210e-02,3.274169e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,1.845000e+00,1.845000e-03,2.837370e-02,3.524390e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,2.399000e+00,2.399000e-03,3.689350e-02,2.710504e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,3.829000e+00,3.829000e-03,5.888504e-02,1.698224e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,255,65025,7,1.562418e-11,1.163837e-06,2.262062e-06,3.891000e+00,3.891000e-03,5.983852e-02,1.671164e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,511,261121,7,5.336785e-11,2.909662e-07,5.655295e-07,2.504000e+00,2.504000e-03,9.589424e-03,1.042815e+08,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,511,261121,7,5.340446e-11,2.909662e-07,5.655295e-07,1.665300e+01,1.665300e-02,6.377503e-02,1.568012e+07,1.000000e-09,150,5,true,wrapper
