dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,127,16129,6,2.836405e-10,4.654896e-06,9.044184e-06,7.180000e-01,7.180000e-04,4.451609e-02,2.246379e+07,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,159,25281,6,4.609001e-10,2.979272e-06,5.790270e-06,7.420000e-01,7.420000e-04,2.935010e-02,3.407143e+07,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,191,36481,6,6.668072e-10,2.068991e-06,4.021335e-06,9.060000e-01,9.060000e-04,2.483485e-02,4.026600e+07,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,255,65025,7,1.564186e-11,1.163837e-06,2.262062e-06,1.165000e+00,1.165000e-03,1.791619e-02,5.581545e+07,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,319,101761,7,2.359133e-11,7.448642e-07,1.447658e-06,1.345000e+00,1.345000e-03,1.321724e-02,7.565874e+07,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,383,146689,7,3.260987e-11,5.172701e-07,1.005378e-06,1.518000e+00,1.518000e-03,1.034842e-02,9.663307e+07,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,511,261121,7,5.335239e-11,2.909662e-07,5.655295e-07,1.922000e+00,1.922000e-03,7.360572e-03,1.358590e+08,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,639,408321,7,7.723667e-11,1.862189e-07,3.619446e-07,2.487000e+00,2.487000e-03,6.090796e-03,1.641821e+08,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,767,588289,7,1.038877e-10,1.293189e-07,2.513476e-07,3.182000e+00,3.182000e-03,5.408906e-03,1.848803e+08,1.000000e-09,15,50,true,wrapper
2,cosine,MG V SOR,mg_v_sor,v,sor,1.25,3,mg,cuda,double,1023,1046529,7,1.645154e-10,7.274200e-08,1.413846e-07,4.768000e+00,4.768000e-03,4.556013e-03,2.194901e+08,1.000000e-09,15,50,true,wrapper
