dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,127,4,1.963370e-10,2.510045e-05,5.020090e-05,6.740000e-01,6.740000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,159,4,1.817188e-10,1.606412e-05,3.212824e-05,9.630000e-01,9.630000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,191,4,2.371102e-10,1.115556e-05,2.231113e-05,6.270000e-01,6.270000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,255,4,2.387709e-10,6.274967e-06,1.254993e-05,8.500000e-01,8.500000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,319,4,2.159116e-10,4.015972e-06,8.031945e-06,1.269000e+00,1.269000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,4,2.651807e-10,2.788855e-06,5.577711e-06,1.027000e+00,1.027000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,511,4,2.600678e-10,1.568728e-06,3.137453e-06,1.458000e+00,1.458000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,639,4,2.323128e-10,1.003989e-06,2.007980e-06,2.096000e+00,2.096000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,767,4,2.789941e-10,6.972046e-07,1.394410e-06,2.355000e+00,2.355000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1023,4,2.713145e-10,3.921770e-07,7.843501e-07,3.539000e+00,3.539000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1279,4,2.439906e-10,2.509970e-07,5.019956e-07,5.213000e+00,5.213000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1535,4,2.923731e-10,1.742936e-07,3.485879e-07,6.861000e+00,6.861000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,2047,4,2.974561e-10,9.803966e-08,1.960755e-07,1.763800e+01,1.763800e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,2559,4,2.984614e-10,6.274920e-08,1.255000e-07,3.377100e+01,3.377100e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,3071,4,3.805296e-10,4.356595e-08,8.713267e-08,4.921900e+01,4.921900e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,4,5.079855e-10,2.450536e-08,4.900689e-08,8.871300e+01,8.871300e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,127,4,1.963299e-10,2.510045e-05,5.020090e-05,6.030000e-01,6.030000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,159,4,1.817171e-10,1.606412e-05,3.212824e-05,5.830000e-01,5.830000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,191,4,2.371061e-10,1.115556e-05,2.231113e-05,6.350000e-01,6.350000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,255,4,2.387847e-10,6.274967e-06,1.254993e-05,7.140000e-01,7.140000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,319,4,2.159184e-10,4.015972e-06,8.031945e-06,8.810000e-01,8.810000e-04,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,4,2.652137e-10,2.788855e-06,5.577711e-06,1.022000e+00,1.022000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,511,4,2.601077e-10,1.568728e-06,3.137453e-06,1.334000e+00,1.334000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,639,4,2.323120e-10,1.003989e-06,2.007980e-06,1.700000e+00,1.700000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,767,4,2.790558e-10,6.972046e-07,1.394410e-06,2.124000e+00,2.124000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,1023,4,2.713281e-10,3.921770e-07,7.843501e-07,3.336000e+00,3.336000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,1279,4,2.439889e-10,2.509970e-07,5.019956e-07,4.850000e+00,4.850000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,1535,4,2.923901e-10,1.742936e-07,3.485879e-07,7.032000e+00,7.032000e-03,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,2047,4,2.973758e-10,9.803965e-08,1.960755e-07,1.753600e+01,1.753600e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,2559,4,2.984855e-10,6.274917e-08,1.254999e-07,3.410100e+01,3.410100e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,3071,4,3.807990e-10,4.356599e-08,8.713274e-08,4.873500e+01,4.873500e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,4,5.078831e-10,2.450536e-08,4.900691e-08,9.046500e+01,9.046500e-02,1.000000e-09,15,3,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,127,4,5.825043e-13,2.510046e-05,5.020092e-05,3.851000e+00,3.851000e-03,1.000000e-09,15,3,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,159,3,9.782565e-10,1.606412e-05,3.212823e-05,6.429000e+00,6.429000e-03,1.000000e-09,15,3,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,191,3,8.799377e-10,1.115557e-05,2.231114e-05,2.792000e+00,2.792000e-03,1.000000e-09,15,3,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,255,3,7.827353e-10,6.274972e-06,1.254994e-05,5.231000e+00,5.231000e-03,1.000000e-09,15,3,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,319,3,7.379269e-10,4.015971e-06,8.031942e-06,1.300900e+01,1.300900e-02,1.000000e-09,15,3,true,wrapper
