dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,mixed_sine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,1023,7,3.324548e-11,2.926285e-06,5.852571e-06,1.011100e+01,2.375200e+01,1.011100e-02,2.375200e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,1023,6,2.713655e-10,2.926206e-06,5.852412e-06,7.429000e+00,1.018900e+01,7.429000e-03,1.018900e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,1023,6,4.519300e-11,2.926283e-06,5.852566e-06,7.280000e+00,9.507000e+00,7.280000e-03,9.507000e-03,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,1023,5,2.964466e-10,2.926209e-06,5.852418e-06,7.427000e+00,1.231500e+01,7.427000e-03,1.231500e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,1023,5,6.401420e-12,2.926296e-06,5.852591e-06,6.655000e+00,1.328800e+01,6.655000e-03,1.328800e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,1023,4,2.203362e-11,2.926293e-06,5.852586e-06,6.161000e+00,1.003600e+01,6.161000e-03,1.003600e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,1023,5,1.104030e-10,2.926322e-06,5.852644e-06,6.634000e+00,1.420200e+01,6.634000e-03,1.420200e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,1023,6,4.771930e-11,2.926287e-06,5.852574e-06,7.421000e+00,1.235600e+01,7.421000e-03,1.235600e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,1023,6,6.964800e-10,2.926163e-06,5.852326e-06,7.432000e+00,9.831000e+00,7.432000e-03,9.831000e-03,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,1023,7,2.234585e-10,2.926336e-06,5.852673e-06,7.991000e+00,1.460100e+01,7.991000e-03,1.460100e-02,1.000000e-09,15,4,true
2,mixed_sine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,1023,8,1.042877e-10,2.926280e-06,5.852560e-06,1.110500e+01,1.869300e+01,1.110500e-02,1.869300e-02,1.000000e-09,15,4,true
2,mixed_sine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,1023,7,3.324870e-11,2.926285e-06,5.852571e-06,1.011500e+01,1.407800e+01,1.011500e-02,1.407800e-02,1.000000e-09,15,4,true
