dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,exp,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,2047,10,9.033909e-10,4.723949e-09,8.580744e-09,3.232500e+01,4.150500e+01,3.232500e-02,4.150500e-02,1.000000e-09,15,2,true
2,exp,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,2047,10,8.136509e-10,4.724452e-09,8.582022e-09,2.489400e+01,2.709800e+01,2.489400e-02,2.709800e-02,1.000000e-09,15,2,true
2,exp,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,2047,9,8.616690e-10,4.724421e-09,8.581980e-09,2.361800e+01,3.633800e+01,2.361800e-02,3.633800e-02,1.000000e-09,15,2,true
2,exp,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,2047,8,9.135399e-10,4.724568e-09,8.582206e-09,2.348500e+01,2.822700e+01,2.348500e-02,2.822700e-02,1.000000e-09,15,2,true
2,exp,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,2047,8,9.813457e-10,4.724505e-09,8.582163e-09,2.526800e+01,3.143100e+01,2.526800e-02,3.143100e-02,1.000000e-09,15,2,true
2,exp,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,2047,15,1.013333e-09,4.724573e-09,8.582261e-09,3.399700e+01,4.135500e+01,3.399700e-02,4.135500e-02,1.000000e-09,15,2,false
2,exp,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,2047,15,1.082905e-09,4.724635e-09,8.582415e-09,3.657400e+01,4.563200e+01,3.657400e-02,4.563200e-02,1.000000e-09,15,2,false
2,exp,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,2047,15,1.158604e-09,4.724359e-09,8.581835e-09,3.424300e+01,3.660800e+01,3.424300e-02,3.660800e-02,1.000000e-09,15,2,false
2,exp,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,2047,15,1.236551e-09,4.724342e-09,8.581758e-09,3.592100e+01,3.788700e+01,3.592100e-02,3.788700e-02,1.000000e-09,15,2,false
2,exp,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,2047,15,1.311840e-09,4.724313e-09,8.581767e-09,3.452400e+01,4.023900e+01,3.452400e-02,4.023900e-02,1.000000e-09,15,2,false
