dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,cosine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,6143,14,7.088742e-10,2.020579e-09,3.927375e-09,3.156960e+02,3.231890e+02,3.156960e-01,3.231890e-01,1.000000e-09,15,1,true
2,cosine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,6143,12,7.774841e-10,2.020571e-09,3.927315e-09,2.519220e+02,2.741340e+02,2.519220e-01,2.741340e-01,1.000000e-09,15,1,true
2,cosine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,6143,10,9.338509e-10,2.020472e-09,3.927114e-09,2.261740e+02,2.331260e+02,2.261740e-01,2.331260e-01,1.000000e-09,15,1,true
2,cosine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,6143,10,9.431855e-10,2.020676e-09,3.927480e-09,2.563140e+02,2.720440e+02,2.563140e-01,2.720440e-01,1.000000e-09,15,1,true
2,cosine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,6143,13,9.286133e-10,2.020620e-09,3.927404e-09,2.916630e+02,2.981970e+02,2.916630e-01,2.981970e-01,1.000000e-09,15,1,true
2,cosine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,6143,15,1.014046e-09,2.020618e-09,3.927418e-09,3.359440e+02,3.424060e+02,3.359440e-01,3.424060e-01,1.000000e-09,15,1,false
2,cosine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,6143,15,9.147851e-09,2.020692e-09,3.927522e-09,3.135440e+02,3.201630e+02,3.135440e-01,3.201630e-01,1.000000e-09,15,1,false
2,cosine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,6143,15,3.640614e-07,2.021090e-09,3.927534e-09,3.102860e+02,3.161150e+02,3.102860e-01,3.161150e-01,1.000000e-09,15,1,false
2,cosine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,6143,15,7.753249e-06,2.031996e-09,3.928475e-09,3.132020e+02,3.207380e+02,3.132020e-01,3.207380e-01,1.000000e-09,15,1,false
2,cosine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,6143,15,1.080443e-04,2.237623e-09,4.059586e-09,3.170860e+02,3.284380e+02,3.170860e-01,3.284380e-01,1.000000e-09,15,1,false
2,cosine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,6143,15,1.117000e-03,6.359312e-09,3.055112e-08,2.971860e+02,3.070680e+02,2.971860e-01,3.070680e-01,1.000000e-09,15,1,false
2,cosine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,6143,14,7.088606e-10,2.020583e-09,3.927327e-09,2.995100e+02,3.063570e+02,2.995100e-01,3.063570e-01,1.000000e-09,15,1,true
2,cosine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,6143,12,7.775099e-10,2.020566e-09,3.927318e-09,2.699500e+02,2.763790e+02,2.699500e-01,2.763790e-01,1.000000e-09,15,1,true
2,cosine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,6143,10,9.338414e-10,2.020463e-09,3.927086e-09,2.322360e+02,2.381260e+02,2.322360e-01,2.381260e-01,1.000000e-09,15,1,true
2,cosine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,6143,10,9.429726e-10,2.020696e-09,3.927556e-09,2.211570e+02,2.413150e+02,2.211570e-01,2.413150e-01,1.000000e-09,15,1,true
2,cosine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,6143,13,9.287188e-10,2.020612e-09,3.927396e-09,2.647230e+02,2.715100e+02,2.647230e-01,2.715100e-01,1.000000e-09,15,1,true
2,cosine,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,6143,15,1.013982e-09,2.020609e-09,3.927391e-09,3.011850e+02,3.080800e+02,3.011850e-01,3.080800e-01,1.000000e-09,15,1,false
2,cosine,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,6143,15,9.148305e-09,2.020705e-09,3.927553e-09,3.263100e+02,3.338190e+02,3.263100e-01,3.338190e-01,1.000000e-09,15,1,false
2,cosine,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,6143,15,3.640618e-07,2.021104e-09,3.927527e-09,3.011600e+02,3.072560e+02,3.011600e-01,3.072560e-01,1.000000e-09,15,1,false
2,cosine,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,6143,15,7.753248e-06,2.031980e-09,3.928459e-09,2.971530e+02,3.034700e+02,2.971530e-01,3.034700e-01,1.000000e-09,15,1,false
2,cosine,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,6143,15,1.080443e-04,2.237626e-09,4.059594e-09,3.080420e+02,3.136870e+02,3.080420e-01,3.136870e-01,1.000000e-09,15,1,false
2,cosine,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,6143,15,1.117000e-03,6.359307e-09,3.055112e-08,3.101830e+02,3.159430e+02,3.101830e-01,3.159430e-01,1.000000e-09,15,1,false
2,cosine,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,6143,12,7.477067e-10,2.020609e-09,3.927407e-09,1.036255e+03,1.101863e+03,1.036255e+00,1.101863e+00,1.000000e-09,15,1,true
2,cosine,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,6143,10,7.995386e-10,2.020615e-09,3.927406e-09,8.388930e+02,9.011450e+02,8.388930e-01,9.011450e-01,1.000000e-09,15,1,true
2,cosine,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,6143,10,8.328526e-10,2.020616e-09,3.927397e-09,7.609790e+02,8.130820e+02,7.609790e-01,8.130820e-01,1.000000e-09,15,1,true
2,cosine,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,6143,10,9.232238e-10,2.020697e-09,3.927518e-09,7.622840e+02,8.270560e+02,7.622840e-01,8.270560e-01,1.000000e-09,15,1,true
2,cosine,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,6143,11,9.720627e-10,2.020607e-09,3.927398e-09,8.764530e+02,9.535820e+02,8.764530e-01,9.535820e-01,1.000000e-09,15,1,true
2,cosine,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,6143,15,1.009176e-09,2.020622e-09,3.927494e-09,1.143171e+03,1.228741e+03,1.143171e+00,1.228741e+00,1.000000e-09,15,1,false
2,cosine,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,6143,15,1.054764e-09,2.020699e-09,3.927578e-09,1.131051e+03,1.199970e+03,1.131051e+00,1.199970e+00,1.000000e-09,15,1,false
2,cosine,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,6143,15,1.583163e-08,2.020574e-09,3.927332e-09,1.079537e+03,1.130591e+03,1.079537e+00,1.130591e+00,1.000000e-09,15,1,false
2,cosine,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,6143,15,4.475865e-07,2.020619e-09,3.927409e-09,1.135757e+03,1.198051e+03,1.135757e+00,1.198051e+00,1.000000e-09,15,1,false
2,cosine,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,6143,15,8.642376e-06,2.020654e-09,3.927449e-09,1.065870e+03,1.118518e+03,1.065870e+00,1.118518e+00,1.000000e-09,15,1,false
