dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,sine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,4095,9,6.018564e-10,2.448196e-08,4.896078e-08,1.160950e+02,1.234900e+02,1.160950e-01,1.234900e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,4095,9,3.890217e-10,2.450372e-08,4.900703e-08,9.275900e+01,9.826100e+01,9.275900e-02,9.826100e-02,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,4095,8,6.508027e-10,2.448632e-08,4.897198e-08,1.078250e+02,1.115380e+02,1.078250e-01,1.115380e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,4095,8,4.333913e-10,2.450894e-08,4.901790e-08,9.289400e+01,9.681900e+01,9.289400e-02,9.681900e-02,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,4095,9,6.087875e-10,2.451139e-08,4.902266e-08,1.034470e+02,1.119740e+02,1.034470e-01,1.119740e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,4095,11,4.651730e-10,2.451142e-08,4.902283e-08,1.061330e+02,1.104340e+02,1.061330e-01,1.104340e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,4095,12,5.569570e-10,2.451136e-08,4.902283e-08,1.221860e+02,1.282180e+02,1.221860e-01,1.282180e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,4095,13,8.545198e-10,2.451142e-08,4.902241e-08,1.340520e+02,1.391750e+02,1.340520e-01,1.391750e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,4095,15,6.170429e-10,2.451145e-08,4.902275e-08,1.433010e+02,1.554440e+02,1.433010e-01,1.554440e-01,1.000000e-09,15,1,true
2,sine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,4095,15,3.605954e-09,2.451159e-08,4.902129e-08,1.318220e+02,1.442220e+02,1.318220e-01,1.442220e-01,1.000000e-09,15,1,false
2,sine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,4095,15,3.515470e-08,2.451257e-08,4.901786e-08,1.931150e+02,1.973570e+02,1.931150e-01,1.973570e-01,1.000000e-09,15,1,false
2,sine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,4095,9,6.020670e-10,2.448191e-08,4.896069e-08,9.253200e+01,9.515900e+01,9.253200e-02,9.515900e-02,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,4095,9,3.889221e-10,2.450375e-08,4.900708e-08,1.045570e+02,1.105240e+02,1.045570e-01,1.105240e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,4095,8,6.506078e-10,2.448628e-08,4.897190e-08,9.134300e+01,9.461000e+01,9.134300e-02,9.461000e-02,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,4095,8,4.334202e-10,2.450900e-08,4.901803e-08,1.106090e+02,1.163000e+02,1.106090e-01,1.163000e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,4095,9,6.088448e-10,2.451133e-08,4.902256e-08,1.360760e+02,1.397610e+02,1.360760e-01,1.397610e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,4095,11,4.652966e-10,2.451148e-08,4.902296e-08,1.058120e+02,1.140460e+02,1.058120e-01,1.140460e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,4095,12,5.571586e-10,2.451128e-08,4.902269e-08,1.254100e+02,1.344920e+02,1.254100e-01,1.344920e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,4095,13,8.547274e-10,2.451148e-08,4.902255e-08,1.195370e+02,1.248540e+02,1.195370e-01,1.248540e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,4095,15,6.170486e-10,2.451145e-08,4.902271e-08,1.264770e+02,1.347150e+02,1.264770e-01,1.347150e-01,1.000000e-09,15,1,true
2,sine,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,4095,15,3.606021e-09,2.451162e-08,4.902135e-08,1.483740e+02,1.518190e+02,1.483740e-01,1.518190e-01,1.000000e-09,15,1,false
2,sine,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,4095,15,3.515578e-08,2.451260e-08,4.901792e-08,1.513500e+02,1.746170e+02,1.513500e-01,1.746170e-01,1.000000e-09,15,1,false
2,sine,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,4095,2,3.047013e-10,2.451134e-08,4.902266e-08,1.775800e+02,2.161480e+02,1.775800e-01,2.161480e-01,1.000000e-09,15,1,true
2,sine,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,4095,5,3.460040e-10,2.451144e-08,4.902271e-08,3.506200e+02,3.905360e+02,3.506200e-01,3.905360e-01,1.000000e-09,15,1,true
2,sine,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,4095,5,8.696381e-10,2.451160e-08,4.902335e-08,2.997120e+02,3.431000e+02,2.997120e-01,3.431000e-01,1.000000e-09,15,1,true
2,sine,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,4095,6,7.359939e-10,2.451174e-08,4.902374e-08,3.664770e+02,4.062210e+02,3.664770e-01,4.062210e-01,1.000000e-09,15,1,true
