dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
3,sine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,127,8,3.638373e-10,1.774861e-05,5.020066e-05,1.965000e+01,2.780000e+01,1.965000e-02,2.780000e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,127,8,1.168507e-10,1.774868e-05,5.020084e-05,2.044700e+01,2.347000e+01,2.044700e-02,2.347000e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,127,7,6.699068e-10,1.774855e-05,5.020049e-05,2.077200e+01,2.660600e+01,2.077200e-02,2.660600e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,127,7,1.617412e-10,1.774867e-05,5.020082e-05,1.828100e+01,2.169600e+01,1.828100e-02,2.169600e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,127,6,9.193245e-10,1.774852e-05,5.020041e-05,1.687100e+01,2.027900e+01,1.687100e-02,2.027900e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,127,6,1.014960e-10,1.774869e-05,5.020086e-05,1.696400e+01,2.087100e+01,1.696400e-02,2.087100e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,127,5,2.345101e-10,1.774867e-05,5.020081e-05,1.488500e+01,2.680700e+01,1.488500e-02,2.680700e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,127,4,3.639268e-11,1.774870e-05,5.020092e-05,1.290100e+01,1.661000e+01,1.290100e-02,1.661000e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,127,5,2.508617e-10,1.774874e-05,5.020100e-05,1.484300e+01,1.684500e+01,1.484300e-02,1.684500e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,127,6,2.632580e-10,1.774867e-05,5.020082e-05,1.571400e+01,2.804800e+01,1.571400e-02,2.804800e-02,1.000000e-09,15,4,true
3,sine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,127,7,1.805082e-10,1.774873e-05,5.020098e-05,1.810900e+01,2.474000e+01,1.810900e-02,2.474000e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,127,8,3.639718e-10,1.774861e-05,5.020066e-05,1.809200e+01,2.146000e+01,1.809200e-02,2.146000e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,127,8,1.168572e-10,1.774868e-05,5.020084e-05,1.686300e+01,2.041000e+01,1.686300e-02,2.041000e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,127,7,6.699090e-10,1.774855e-05,5.020049e-05,1.665100e+01,1.933500e+01,1.665100e-02,1.933500e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,127,7,1.617423e-10,1.774867e-05,5.020082e-05,1.612500e+01,2.093000e+01,1.612500e-02,2.093000e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,127,6,9.193246e-10,1.774852e-05,5.020041e-05,1.607400e+01,1.981700e+01,1.607400e-02,1.981700e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,127,6,1.014963e-10,1.774869e-05,5.020086e-05,1.318700e+01,1.571300e+01,1.318700e-02,1.571300e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,127,5,2.345082e-10,1.774867e-05,5.020081e-05,1.272700e+01,1.612500e+01,1.272700e-02,1.612500e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,127,4,3.639163e-11,1.774870e-05,5.020092e-05,1.151300e+01,1.938700e+01,1.151300e-02,1.938700e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,127,5,2.508599e-10,1.774874e-05,5.020100e-05,1.325100e+01,1.786100e+01,1.325100e-02,1.786100e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,127,6,2.632617e-10,1.774867e-05,5.020082e-05,1.957500e+01,2.657800e+01,1.957500e-02,2.657800e-02,1.000000e-09,15,4,true
3,sine,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,127,7,1.805119e-10,1.774873e-05,5.020098e-05,1.459600e+01,2.134700e+01,1.459600e-02,2.134700e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,127,3,3.263828e-10,1.774863e-05,5.020069e-05,5.329600e+01,5.898800e+01,5.329600e-02,5.898800e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,127,3,2.775818e-10,1.774864e-05,5.020073e-05,5.428000e+01,5.867400e+01,5.428000e-02,5.867400e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,127,3,2.402020e-10,1.774865e-05,5.020077e-05,5.627200e+01,5.996000e+01,5.627200e-02,5.996000e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,127,3,2.256778e-10,1.774867e-05,5.020081e-05,5.389300e+01,5.932500e+01,5.389300e-02,5.932500e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,127,3,2.183035e-10,1.774868e-05,5.020085e-05,5.317400e+01,6.209200e+01,5.317400e-02,6.209200e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,127,3,2.467765e-10,1.774869e-05,5.020088e-05,5.321000e+01,5.919300e+01,5.321000e-02,5.919300e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,127,3,3.457942e-10,1.774870e-05,5.020090e-05,5.441000e+01,5.832700e+01,5.441000e-02,5.832700e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,127,4,7.636333e-13,1.774870e-05,5.020092e-05,7.016000e+01,7.876700e+01,7.016000e-02,7.876700e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,127,4,7.967062e-12,1.774870e-05,5.020092e-05,6.908200e+01,7.240000e+01,6.908200e-02,7.240000e-02,1.000000e-09,15,4,true
3,sine,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,127,4,1.750640e-10,1.774870e-05,5.020092e-05,7.103700e+01,7.482000e+01,7.103700e-02,7.482000e-02,1.000000e-09,15,4,true
