dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,14,6.260450e-10,4.546383e-09,8.836635e-09,1.300260e+02,1.300260e-01,1.000000e-09,15,1,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,9,4.501140e-10,4.546371e-09,8.836598e-09,1.313120e+02,1.313120e-01,1.000000e-09,15,2,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,8,3.862726e-10,4.546387e-09,8.836614e-09,1.352950e+02,1.352950e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,7,3.782276e-10,4.546369e-09,8.836595e-09,1.482650e+02,1.482650e-01,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,6,9.440880e-10,4.546355e-09,8.836567e-09,1.487110e+02,1.487110e-01,1.000000e-09,15,5,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,14,6.257716e-10,4.546383e-09,8.836598e-09,1.353180e+02,1.353180e-01,1.000000e-09,15,1,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,9,4.501101e-10,4.546374e-09,8.836572e-09,1.259510e+02,1.259510e-01,1.000000e-09,15,2,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,8,3.863270e-10,4.546375e-09,8.836621e-09,1.296140e+02,1.296140e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,7,3.782680e-10,4.546378e-09,8.836613e-09,1.447210e+02,1.447210e-01,1.000000e-09,15,4,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,6,9.440564e-10,4.546347e-09,8.836564e-09,1.520130e+02,1.520130e-01,1.000000e-09,15,5,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,13,4.809641e-10,4.546383e-09,8.836610e-09,4.306450e+02,4.306450e-01,1.000000e-09,15,1,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,8,8.869345e-10,4.546386e-09,8.836604e-09,3.212690e+02,3.212690e-01,1.000000e-09,15,2,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,7,4.882064e-10,4.546383e-09,8.836601e-09,3.293570e+02,3.293570e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,7,3.732269e-10,4.546385e-09,8.836612e-09,3.638130e+02,3.638130e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,6,4.463182e-10,4.546378e-09,8.836671e-09,3.583700e+02,3.583700e-01,1.000000e-09,15,5,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,13,4.812078e-10,4.546379e-09,8.836588e-09,2.840180e+02,2.840180e-01,1.000000e-09,15,1,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,8,8.868341e-10,4.546380e-09,8.836622e-09,2.313130e+02,2.313130e-01,1.000000e-09,15,2,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,7,4.885205e-10,4.546385e-09,8.836629e-09,2.409590e+02,2.409590e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,7,3.730876e-10,4.546385e-09,8.836610e-09,2.846960e+02,2.846960e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,6,4.470812e-10,4.546388e-09,8.836618e-09,2.884970e+02,2.884970e-01,1.000000e-09,15,5,true,wrapper
