dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,9,6.265071e-10,1.971983e-06,5.577609e-06,3.728990e+02,3.728990e-01,1.000000e-09,15,1,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,7,1.008520e-10,1.972013e-06,5.577696e-06,3.903550e+02,3.903550e-01,1.000000e-09,15,2,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,3.900877e-10,1.971958e-06,5.577539e-06,3.857950e+02,3.857950e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,1.084548e-10,1.972005e-06,5.577673e-06,4.686680e+02,4.686680e-01,1.000000e-09,15,4,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,3.595381e-11,1.972019e-06,5.577711e-06,5.339200e+02,5.339200e-01,1.000000e-09,15,5,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,9,6.265094e-10,1.971983e-06,5.577609e-06,3.215570e+02,3.215570e-01,1.000000e-09,15,1,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,7,1.008568e-10,1.972013e-06,5.577696e-06,3.813590e+02,3.813590e-01,1.000000e-09,15,2,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,6,3.900915e-10,1.971958e-06,5.577539e-06,3.949160e+02,3.949160e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,6,1.084560e-10,1.972005e-06,5.577673e-06,4.571590e+02,4.571590e-01,1.000000e-09,15,4,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,6,3.595339e-11,1.972019e-06,5.577711e-06,5.296590e+02,5.296590e-01,1.000000e-09,15,5,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,9,1.245684e-10,1.972025e-06,5.577730e-06,3.646370e+02,3.646370e-01,1.000000e-09,15,1,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,5,1.168922e-11,1.972025e-06,5.577730e-06,3.287400e+02,3.287400e-01,1.000000e-09,15,2,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,3,5.715319e-10,1.972025e-06,5.577730e-06,3.564090e+02,3.564090e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,3,7.327955e-12,1.972025e-06,5.577730e-06,3.683500e+02,3.683500e-01,1.000000e-09,15,4,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,3,5.350417e-12,1.972025e-06,5.577730e-06,3.849090e+02,3.849090e-01,1.000000e-09,15,5,true,wrapper
3,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,9,1.245672e-10,1.972025e-06,5.577730e-06,3.575290e+02,3.575290e-01,1.000000e-09,15,1,true,wrapper
3,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,5,1.169002e-11,1.972025e-06,5.577730e-06,3.305150e+02,3.305150e-01,1.000000e-09,15,2,true,wrapper
3,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,3,5.715315e-10,1.972025e-06,5.577730e-06,3.633960e+02,3.633960e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,3,7.324779e-12,1.972025e-06,5.577730e-06,3.384800e+02,3.384800e-01,1.000000e-09,15,4,true,wrapper
3,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,3,5.351775e-12,1.972025e-06,5.577730e-06,3.638350e+02,3.638350e-01,1.000000e-09,15,5,true,wrapper
