dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,sine,V-exact,v_exact,v,exact,1.00,mg,cuda,double,4095,7,4.196321e-10,2.440654e-08,4.881313e-08,1.393960e+02,1.393960e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.05,mg,cuda,double,4095,7,3.195210e-10,2.448630e-08,4.897256e-08,1.323930e+02,1.323930e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.10,mg,cuda,double,4095,6,6.019186e-10,2.436670e-08,4.873336e-08,1.123870e+02,1.123870e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.15,mg,cuda,double,4095,6,3.607260e-10,2.449879e-08,4.899771e-08,1.120890e+02,1.120890e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.20,mg,cuda,double,4095,5,3.936975e-10,2.449486e-08,4.898974e-08,1.133140e+02,1.133140e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,4,5.079855e-10,2.450536e-08,4.900689e-08,9.867200e+01,9.867200e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.30,mg,cuda,double,4095,5,9.350167e-10,2.467585e-08,4.935241e-08,1.023260e+02,1.023260e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.35,mg,cuda,double,4095,6,7.423751e-10,2.439678e-08,4.879352e-08,1.168070e+02,1.168070e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.40,mg,cuda,double,4095,7,5.649443e-10,2.457319e-08,4.914640e-08,1.274750e+02,1.274750e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.45,mg,cuda,double,4095,8,5.340877e-10,2.447352e-08,4.894691e-08,1.344760e+02,1.344760e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.50,mg,cuda,double,4095,9,5.828121e-10,2.454175e-08,4.908344e-08,1.524940e+02,1.524940e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.00,mg,cuda,double,4095,7,4.198101e-10,2.440649e-08,4.881303e-08,1.247410e+02,1.247410e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.05,mg,cuda,double,4095,7,3.197354e-10,2.448631e-08,4.897259e-08,1.321110e+02,1.321110e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.10,mg,cuda,double,4095,6,6.016537e-10,2.436671e-08,4.873345e-08,1.164500e+02,1.164500e-01,1.000000e-09,15,3,true,wrapper
