dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
3,cosine,V-exact,v_exact,v,exact,1.00,mg,cuda,double,383,10,1.322405e-10,3.237494e-07,8.839965e-07,5.573890e+02,5.573890e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.05,mg,cuda,double,383,9,4.262520e-10,3.237427e-07,8.839750e-07,5.242840e+02,5.242840e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.10,mg,cuda,double,383,9,7.904486e-11,3.237508e-07,8.840008e-07,5.233780e+02,5.233780e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.15,mg,cuda,double,383,8,2.467530e-10,3.237471e-07,8.839884e-07,4.788650e+02,4.788650e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.20,mg,cuda,double,383,7,7.426168e-10,3.237361e-07,8.839526e-07,4.277410e+02,4.277410e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,7,3.822261e-11,3.237518e-07,8.840041e-07,4.525260e+02,4.525260e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.30,mg,cuda,double,383,7,1.857012e-11,3.237528e-07,8.840071e-07,4.678120e+02,4.678120e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.35,mg,cuda,double,383,8,2.437846e-11,3.237528e-07,8.840071e-07,4.755590e+02,4.755590e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.40,mg,cuda,double,383,8,7.111660e-10,3.237528e-07,8.840073e-07,4.806280e+02,4.806280e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.45,mg,cuda,double,383,9,5.424326e-10,3.237528e-07,8.840067e-07,5.246450e+02,5.246450e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.50,mg,cuda,double,383,10,5.432044e-10,3.237527e-07,8.840076e-07,5.596940e+02,5.596940e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.00,mg,cuda,double,383,10,1.322437e-10,3.237494e-07,8.839965e-07,5.724610e+02,5.724610e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.05,mg,cuda,double,383,9,4.262554e-10,3.237427e-07,8.839750e-07,5.361860e+02,5.361860e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.10,mg,cuda,double,383,9,7.904486e-11,3.237508e-07,8.840008e-07,5.201620e+02,5.201620e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.15,mg,cuda,double,383,8,2.467530e-10,3.237471e-07,8.839884e-07,4.883630e+02,4.883630e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.20,mg,cuda,double,383,7,7.426169e-10,3.237361e-07,8.839526e-07,4.372430e+02,4.372430e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,7,3.822265e-11,3.237518e-07,8.840041e-07,5.002050e+02,5.002050e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.30,mg,cuda,double,383,7,1.857193e-11,3.237528e-07,8.840071e-07,4.297830e+02,4.297830e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.35,mg,cuda,double,383,8,2.437796e-11,3.237528e-07,8.840071e-07,4.964780e+02,4.964780e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.40,mg,cuda,double,383,8,7.111660e-10,3.237528e-07,8.840073e-07,4.885630e+02,4.885630e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.45,mg,cuda,double,383,9,5.424341e-10,3.237528e-07,8.840067e-07,5.264940e+02,5.264940e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.50,mg,cuda,double,383,10,5.432075e-10,3.237527e-07,8.840076e-07,5.589140e+02,5.589140e-01,1.000000e-09,15,3,true,wrapper
