backend,dim,dtype,solver,case,grid_size,tol,max_iter,repeat_runs,cycle,nu,omega,mg_coarse,coarse_steps,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms
cuda,2,double,mg,cosine,127,1e-09,15,5,v,4,1.25,exact,,,6,1.398957e-11,4.654896e-06,9.044184e-06,0.962
cuda,2,double,mg,cosine,127,1e-09,15,5,v,4,1.25,sor,16,,6,1.399397e-11,4.654896e-06,9.044184e-06,0.953
cuda,2,double,mg,cosine,127,1e-09,15,5,w,4,1.25,exact,,,6,6.976043e-12,4.654896e-06,9.044184e-06,5.451
cuda,2,double,mg,cosine,127,1e-09,15,5,w,4,1.25,sor,16,,6,6.969157e-12,4.654896e-06,9.044184e-06,3.37
cuda,2,double,mg,cosine,127,1e-09,150,5,v,3,1.25,exact,,,6,2.83644e-10,4.654896e-06,9.044184e-06,0.982
cuda,2,double,mg,cosine,159,1e-09,15,5,v,4,1.25,exact,,,6,2.404942e-11,2.979272e-06,5.790269e-06,1.566
cuda,2,double,mg,cosine,159,1e-09,15,5,v,4,1.25,sor,16,,6,2.404325e-11,2.979272e-06,5.790269e-06,0.94
cuda,2,double,mg,cosine,159,1e-09,15,5,w,4,1.25,exact,,,6,1.068305e-11,2.979272e-06,5.790269e-06,13.412
cuda,2,double,mg,cosine,159,1e-09,15,5,w,4,1.25,sor,16,,6,1.068092e-11,2.979272e-06,5.790269e-06,4.315
cuda,2,double,mg,cosine,191,1e-09,15,5,v,4,1.25,exact,,,6,3.601782e-11,2.068991e-06,4.021334e-06,1.414
cuda,2,double,mg,cosine,191,1e-09,15,5,v,4,1.25,sor,16,,6,3.603502e-11,2.068991e-06,4.021334e-06,1.126
cuda,2,double,mg,cosine,191,1e-09,15,5,w,4,1.25,exact,,,6,1.484444e-11,2.068991e-06,4.021334e-06,6.817
cuda,2,double,mg,cosine,191,1e-09,15,5,w,4,1.25,sor,16,,6,1.483201e-11,2.068991e-06,4.021334e-06,6.934
