dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,39,6,4.727908e-10,1.817972e-04,5.142002e-04,2.256200e+01,2.256200e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,47,6,3.464623e-10,1.262362e-04,3.570498e-04,1.286000e+00,1.286000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,63,6,4.725824e-10,7.100115e-05,2.008216e-04,4.038000e+00,4.038000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,79,6,5.352997e-10,4.543872e-05,1.285201e-04,2.432500e+01,2.432500e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,95,6,3.806893e-10,3.155393e-05,8.924798e-05,4.235000e+00,4.235000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,127,6,4.964220e-10,1.774862e-05,5.020067e-05,1.081900e+01,1.081900e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,159,6,5.517928e-10,1.135895e-05,3.212797e-05,3.743200e+01,3.743200e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,191,6,3.893518e-10,7.888114e-06,2.231095e-05,4.687300e+01,4.687300e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,255,6,5.019013e-10,4.436989e-06,1.254970e-05,1.128350e+02,1.128350e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,319,6,5.549768e-10,2.839624e-06,8.031670e-06,2.403800e+02,2.403800e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,3.900877e-10,1.971958e-06,5.577539e-06,3.979250e+02,3.979250e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,39,6,4.727913e-10,1.817972e-04,5.142002e-04,9.190000e-01,9.190000e-04,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,47,6,3.464613e-10,1.262362e-04,3.570498e-04,1.153000e+00,1.153000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,63,6,4.725824e-10,7.100115e-05,2.008216e-04,1.918000e+00,1.918000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,79,6,5.352959e-10,4.543872e-05,1.285201e-04,2.768000e+00,2.768000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,95,6,3.806920e-10,3.155393e-05,8.924798e-05,4.319000e+00,4.319000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,127,6,4.964212e-10,1.774862e-05,5.020067e-05,8.805000e+00,8.805000e-03,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,159,6,5.517988e-10,1.135895e-05,3.212797e-05,1.631400e+01,1.631400e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,191,6,3.893510e-10,7.888114e-06,2.231095e-05,4.669800e+01,4.669800e-02,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,255,6,5.019050e-10,4.436989e-06,1.254970e-05,1.099360e+02,1.099360e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,319,6,5.549778e-10,2.839624e-06,8.031670e-06,2.193460e+02,2.193460e-01,1.000000e-09,15,3,true,wrapper
3,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,6,3.900915e-10,1.971958e-06,5.577539e-06,3.987660e+02,3.987660e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,39,4,6.397187e-10,1.817973e-04,5.142003e-04,5.876800e+01,5.876800e-02,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,47,4,2.301671e-10,1.262362e-04,3.570500e-04,2.414000e+00,2.414000e-03,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,63,4,4.757221e-11,7.100123e-05,2.008218e-04,1.435700e+01,1.435700e-02,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,79,4,1.460315e-11,4.543882e-05,1.285204e-04,1.189260e+02,1.189260e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,95,4,5.730280e-12,3.155399e-05,8.924816e-05,7.104000e+00,7.104000e-03,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,127,4,1.468214e-12,1.774870e-05,5.020092e-05,3.398900e+01,3.398900e-02,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,159,4,9.786993e-13,1.135905e-05,3.212824e-05,2.482950e+02,2.482950e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,191,4,1.356075e-12,7.888181e-06,2.231114e-05,4.566400e+01,4.566400e-02,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,255,3,8.081859e-10,4.437075e-06,1.254994e-05,1.166420e+02,1.166420e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,319,3,6.399784e-10,2.839720e-06,8.031942e-06,5.174060e+02,5.174060e-01,1.000000e-09,15,3,true,wrapper
3,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,3,5.715319e-10,1.972025e-06,5.577730e-06,2.805940e+02,2.805940e-01,1.000000e-09,15,3,true,wrapper
