dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
3,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,13,1.143389e-10,3.237528e-07,8.840071e-07,4.244770e+02,4.244770e-01,1.000000e-09,15,1,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,7,7.197637e-10,3.237451e-07,8.839836e-07,4.047500e+02,4.047500e-01,1.000000e-09,15,2,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,7,3.822261e-11,3.237518e-07,8.840041e-07,4.525260e+02,4.525260e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,4.448331e-10,3.237407e-07,8.839715e-07,4.559060e+02,4.559060e-01,1.000000e-09,15,4,true,wrapper
3,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,1.418087e-10,3.237487e-07,8.839951e-07,5.660100e+02,5.660100e-01,1.000000e-09,15,5,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,13,1.143433e-10,3.237528e-07,8.840071e-07,3.988290e+02,3.988290e-01,1.000000e-09,15,1,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,7,7.197638e-10,3.237451e-07,8.839836e-07,3.826590e+02,3.826590e-01,1.000000e-09,15,2,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,7,3.822265e-11,3.237518e-07,8.840041e-07,5.002050e+02,5.002050e-01,1.000000e-09,15,3,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,6,4.448324e-10,3.237407e-07,8.839715e-07,4.651570e+02,4.651570e-01,1.000000e-09,15,4,true,wrapper
3,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,383,6,1.418051e-10,3.237487e-07,8.839951e-07,5.134670e+02,5.134670e-01,1.000000e-09,15,5,true,wrapper
3,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,12,4.972678e-10,3.237528e-07,8.840071e-07,4.417220e+02,4.417220e-01,1.000000e-09,15,1,true,wrapper
3,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,7,4.018427e-10,3.237528e-07,8.840071e-07,4.090740e+02,4.090740e-01,1.000000e-09,15,2,true,wrapper
3,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,6,1.654450e-10,3.237528e-07,8.840071e-07,4.578400e+02,4.578400e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,6,3.190742e-11,3.237528e-07,8.840071e-07,5.289260e+02,5.289260e-01,1.000000e-09,15,4,true,wrapper
3,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,6,1.109976e-11,3.237528e-07,8.840071e-07,6.530640e+02,6.530640e-01,1.000000e-09,15,5,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,12,4.972705e-10,3.237528e-07,8.840071e-07,4.466610e+02,4.466610e-01,1.000000e-09,15,1,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,7,4.018408e-10,3.237528e-07,8.840071e-07,4.451920e+02,4.451920e-01,1.000000e-09,15,2,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,6,1.654466e-10,3.237528e-07,8.840071e-07,4.662080e+02,4.662080e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,6,3.190839e-11,3.237528e-07,8.840071e-07,5.207800e+02,5.207800e-01,1.000000e-09,15,4,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,6,1.110187e-11,3.237528e-07,8.840071e-07,6.030510e+02,6.030510e-01,1.000000e-09,15,5,true,wrapper
