backend,dim,dtype,solver,case,grid_size,tol,max_iter,repeat_runs,cycle,nu,omega,mg_coarse,coarse_steps,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms
cuda,2,double,sor,cosine,63,1e-09,10000,25,,,,,,,300,2.566321e-11,1.861234e-05,3.615085e-05,7.732
cuda,2,double,sor,cosine,95,1e-09,10000,25,,,,,,,450,4.282644e-11,8.274537e-06,1.60825e-05,9.598
cuda,2,double,sor,cosine,127,1e-09,10000,25,,,,,,,550,7.968848e-10,4.654896e-06,9.044184e-06,11.35
cuda,2,double,sor,cosine,159,1e-09,10000,25,,,,,,,700,6.952871e-10,2.979272e-06,5.79027e-06,12.742
cuda,2,double,sor,cosine,191,1e-09,10000,25,,,,,,,850,6.796937e-10,2.068991e-06,4.021334e-06,15.076
cuda,2,double,sor,cosine,255,1e-09,10000,25,,,,,,,1150,6.597448e-10,1.163837e-06,2.262062e-06,19.773
cuda,2,double,sor,cosine,319,1e-09,10000,25,,,,,,,1450,7.253402e-10,7.448642e-07,1.447659e-06,24.679
cuda,2,double,sor,cosine,383,1e-09,10000,25,,,,,,,1750,7.989327e-10,5.1727e-07,1.005378e-06,31.639
cuda,2,double,sor,cosine,511,1e-09,10000,25,,,,,,,2400,5.392038e-10,2.909662e-07,5.655292e-07,50.443
cuda,2,double,sor,sine,63,1e-09,10000,25,,,,,,,300,1.920522e-10,0.0001004109,0.0002008218,9.803
cuda,2,double,sor,sine,95,1e-09,10000,25,,,,,,,450,2.898503e-10,4.462408e-05,8.924816e-05,10.454
cuda,2,double,sor,sine,127,1e-09,10000,25,,,,,,,600,3.871911e-10,2.510046e-05,5.020091e-05,12.841
cuda,2,double,sor,sine,159,1e-09,10000,25,,,,,,,750,4.846279e-10,1.606412e-05,3.212823e-05,13.46
cuda,2,double,sor,sine,191,1e-09,10000,25,,,,,,,900,5.818452e-10,1.115557e-05,2.231114e-05,15.975
cuda,2,double,sor,sine,255,1e-09,10000,25,,,,,,,1200,7.761207e-10,6.27497e-06,1.254994e-05,21.522
cuda,2,double,sor,sine,319,1e-09,10000,25,,,,,,,1500,9.70261e-10,4.015969e-06,8.031938e-06,26.169
cuda,2,double,sor,sine,383,1e-09,10000,25,,,,,,,1850,5.288087e-10,2.788864e-06,5.577728e-06,31.823
cuda,2,double,sor,sine,511,1e-09,10000,25,,,,,,,2450,8.596582e-10,1.568733e-06,3.137466e-06,51.039
cuda,3,double,sor,cosine,31,1e-09,10000,25,,,,,,,150,9.342657e-12,4.638968e-05,0.0001265027,7.221
cuda,3,double,sor,cosine,47,1e-09,10000,25,,,,,,,200,4.162247e-10,2.067525e-05,5.638025e-05,7.559
cuda,3,double,sor,cosine,63,1e-09,10000,25,,,,,,,300,2.411357e-11,1.164109e-05,3.174501e-05,11.132
cuda,3,double,sor,cosine,79,1e-09,10000,25,,,,,,,350,2.317813e-10,7.453623e-06,2.032606e-05,18.559
cuda,3,double,sor,cosine,95,1e-09,10000,25,,,,,,,450,4.598149e-11,5.17738e-06,1.411881e-05,26.618
cuda,3,double,sor,cosine,111,1e-09,10000,25,,,,,,,500,2.307122e-10,3.804344e-06,1.038034e-05,37.903
cuda,3,double,sor,cosine,127,1e-09,10000,25,,,,,,,550,7.87951e-10,2.912976e-06,7.951027e-06,54.243
cuda,3,double,sor,cosine,143,1e-09,10000,25,,,,,,,650,2.387899e-10,2.30176e-06,6.283903e-06,83.973
cuda,3,double,sor,cosine,159,1e-09,10000,25,,,,,,,700,6.725963e-10,1.864512e-06,5.090707e-06,118.172
cuda,3,double,sor,sine,31,1e-09,10000,25,,,,,,,150,9.292533e-11,0.0002841076,0.0008035777,5.881
cuda,3,double,sor,sine,47,1e-09,10000,25,,,,,,,250,6.00443e-12,0.0001262362,0.00035705,8.183
cuda,3,double,sor,sine,63,1e-09,10000,25,,,,,,,300,1.920464e-10,7.100123e-05,0.0002008218,11.638
cuda,3,double,sor,sine,79,1e-09,10000,25,,,,,,,400,3.607398e-11,4.543882e-05,0.0001285204,17.8
cuda,3,double,sor,sine,95,1e-09,10000,25,,,,,,,450,2.898352e-10,3.155399e-05,8.924816e-05,27.265
cuda,3,double,sor,sine,111,1e-09,10000,25,,,,,,,550,8.725353e-11,2.318219e-05,6.556915e-05,40.085
cuda,3,double,sor,sine,127,1e-09,10000,25,,,,,,,600,3.872766e-10,1.77487e-05,5.020091e-05,58.473
cuda,3,double,sor,sine,143,1e-09,10000,25,,,,,,,700,1.518797e-10,1.402358e-05,3.966467e-05,94.077
cuda,3,double,sor,sine,159,1e-09,10000,25,,,,,,,750,4.845802e-10,1.135905e-05,3.212823e-05,127.161
